Yeshuv,Encoded_Value
אום אל-פחם,0
אופקים,1
אור יהודה,2
אור עקיבא,3
אזור,4
אילת,5
אכסאל,6
אלעד,7
אעבלין,8
אריאל,9
אשדוד,10
אשקלון,11
באקה אל-גרביה,12
באר שבע,13
בית שאן,14
בית שמש,15
ביתר עילית,16
בני ברק,17
בנימינה-גבעת עדה,18
בת ים,19
ג'דיידה-מכר,20
ג'סר א זרקא,21
גבעת זאב,22
גבעת שמואל,23
גבעתיים,24
גדרה,25
גן יבנה,26
גני תקווה,27
דאלית אל כרמל,28
דייר אל אסד,29
דימונה,30
הוד השרון,31
הרצליה,32
זכרון יעקב,33
חדרה,34
חולון,35
חיפה,36
טבריה,37
טורעאן,38
טייבה,39
טירה,40
טירת כרמל,41
טמרה,42
יבנה,43
יהוד-מונוסון,44
יפיע,45
יקנעם עילית,46
ירושלים,47
ירכא,48
כוכב יאיר,49
כפר יונה,50
כפר כנא,51
כפר מנדא,52
כפר סבא,53
כפר קאסם,54
כפר קרע,55
כרמיאל,56
לוד,57
מבשרת ציון,58
מג'ד אל כרום,59
מגאר,60
מגדל העמק,61
מודיעין עילית,62
מודיעין-מכבים-רעות,63
מעלה אדומים,64
מעלה עירון,65
מעלות-תרשיחא,66
נהריה,67
נוף הגליל,68
נחף,69
נס ציונה,70
נצרת,71
נשר,72
נתיבות,73
נתניה,74
סח'נין,75
עין מאהל,76
עכו,77
עספיא,78
עפולה,79
ערד,80
ערערה,81
ערערה-בנגב,82
פוריידיס,83
פרדס חנה-כרכור,84
פתח תקווה,85
צור הדסה,86
צפת,87
קדימה צורן,88
קלנסווה,89
קרית אונו,90
קרית אתא,91
קרית ביאליק,92
קרית גת,93
קרית טבעון,94
קרית ים,95
קרית מוצקין,96
קרית מלאכי,97
קרית עקרון,98
קרית שמונה,99
ראש העין,100
ראשון לציון,101
רהט,102
רחובות,103
ריינה,104
רמלה,105
רמת גן,106
רמת השרון,107
רעננה,108
שדרות,109
שוהם,110
שפרעם,111
תל אביב יפו,112
תל שבע,113
